  									2025-01-01 ~ 2026-01-31											
	8	​01-14 Wed	11:50	 GA-OT-EX-MX-02	Free	Mix	1	nobrand	300											
	9	​01-14 Wed	12:13	GA-HT-TT-MX-01	S	White	1	Titleist	1,000											
	10	​01-14 Wed	12:15	 GA-OT-EX-MX-02	Free	Mix	1	nobrand	300											
	11	​01-14 Wed	12:21	GA-GG-FJ-WH-01	L	White	1	FootJoy	500											
	12	​01-14 Wed	12:52	GA-HT-TT-MX-01	S	White	1	Titleist	1,000											
	13	​01-14 Wed	13:12	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	14	​01-14 Wed	17:15	GA-GB-GF-WH-01	Free	White	1	G/FORE	12,000							
	15	​01-14 Wed	18:07	GM-TP-TT-BK-02	XL	Black	1	Titleist	2,500											
										15	24,700									
	1	​01-15 Thu	07:59	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	2	​01-15 Thu	08:00	GA-JH-AC-WH-01	2XL	White	1	AmazingCre	500											
	3	​01-15 Thu	08:17	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	4	​01-15 Thu	08:24	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	5	​01-15 Thu	12:35	GA-OT-EX-MX-02	Free	Mix	1	nobrand	300											
	6	​01-15 Thu	12:36	GA-JH-AC-WH-01	L	White	1	AmazingCre	500											
	7	​01-15 Thu	14:28	GM-BT-AC-BG-01	2XL	Beige	1	AmazingCre	5,100											
	8	​01-15 Thu	14:27	GM-TP-TT-GY-01	XL	Gray	1	Titleist	2,900											
	9	​01-15 Thu	14:37	GA-JH-AC-WH-01	XL	White	1	AmazingCre	500											
	10	​01-15 Thu	17:10	LM-TP-PR-BK-01	3XL	Black	1	Prada		2,000											
										10	13,300									
									
